product_id,title,image,catalog_number,Check Stock
id,,"(None,)","(None,)",
3406,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXXL4TIALN,10
3410,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Radius End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2015TICN,0
3413,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Radius End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2020TICN,0
3408,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Radius End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2015,4
3407,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXXL4TICN,1
3409,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Radius End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2015TIALN,0
3404,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXXL2TICN,0
3403,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXXL2TIALN,0
3401,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXL4TICN,0
3400,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXL4TIALN,5
3402,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXXL2,13
3397,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXL2TIALN,6
3396,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXL2,12
3411,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Radius End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2020,3
3412,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Radius End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2020TIALN,0
3395,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FL4TICN,0
3394,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FL4TIALN,13
3405,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXXL4,4
3392,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FL2TICN,0
3393,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FL4,47
3391,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FL2TIALN,6
3389,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58F4TICN,2
3388,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58F4TIALN,51
3390,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FL2,13
3386,"
                                
                                    
                                        Standard Performance
                                    
                                
                             3 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/3-flute-primate-square-stack.png, CEM58F3TICN,0
3385,"
                                
                                    
                                        Standard Performance
                                    
                                
                             3 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/3-flute-primate-square-stack.png, CEM58F3TIALN,0
3387,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58F4,45
3382,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58F2TIALN,6
3380,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXXL4TICN,0
3379,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXXL4TIALN,9
3378,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXXL4,23
3377,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-ballnose.png, CEM58BXXL2TICN,0
3376,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-ballnose.png, CEM58BXXL2TIALN,0
3383,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58F2TICN,3
3381,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58F2,18
3384,"
                                
                                    
                                        Standard Performance
                                    
                                
                             3 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/3-flute-primate-square-stack.png, CEM58F3,11
3374,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXL4TICN,5
3375,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-ballnose.png, CEM58BXXL2,4
3399,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXL4,5
3373,"
                                
                                    
                                        Standard Performance
                                    
                                
                             4 Flute Ballnose End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXL4TIALN,3
3398,"
                                
                                    
                                        Standard Performance
                                    
                                
                             2 Flute Square End 5/8"" Cutting Diameter End Mill Machining Method Looking for the latest catalog? Give us a call toll free Our Location Connect with us",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXL2TICN,0
product_id,title,image,catalog_number,Check Stock
3406,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXXL4TIALN,10
3407,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXXL4TICN,1
3410,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2015TICN,0
3408,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2015,4
3405,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXXL4,4
3404,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXXL2TICN,0
3403,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXXL2TIALN,0
3402,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXXL2,13
3401,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXL4TICN,0
3413,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2020TICN,0
3409,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2015TIALN,0
3412,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2020TIALN,0
3399,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXL4,5
3398,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXL2TICN,0
3393,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FL4,47
3397,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXL2TIALN,6
3396,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FXL2,12
3392,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FL2TICN,0
3390,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FL2,13
3394,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FL4TIALN,13
3387,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58F4,45
3391,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58FL2TIALN,6
3389,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58F4TICN,2
3386,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/3-flute-primate-square-stack.png, CEM58F3TICN,0
3383,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58F2TICN,3
3384,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/3-flute-primate-square-stack.png, CEM58F3,11
3385,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/3-flute-primate-square-stack.png, CEM58F3TIALN,0
3381,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58F2,18
3400,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FXL4TIALN,5
3379,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXXL4TIALN,9
3380,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXXL4TICN,0
3388,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58F4TIALN,51
3376,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-ballnose.png, CEM58BXXL2TIALN,0
3382,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-square.png, CEM58F2TIALN,6
3377,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-ballnose.png, CEM58BXXL2TICN,0
3378,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXXL4,23
3373,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXL4TIALN,3
3375,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-ballnose.png, CEM58BXXL2,4
3411,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/2-flute-primate-radius.png, CEM58R2020,3
3395,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-square.png, CEM58FL4TICN,0
3374,"
                                                                 
                                                                         
                                                                                 S t a n d a r d   P e r f o r m a n c e 
                                                                         
                                                                 
                                                        ",https://gorillamill.com/images/uploads/product-tool-groups/4-flute-primate-ballnose.png, CEM58BXL4TICN,5
